"","id","round","trial","action","potato"
"199",1,2,99,"right",1
"200",1,2,100,"right",0
"201",1,3,1,"right",0
"202",1,3,2,"up",0
"203",1,3,3,"right",1
"204",1,3,4,"right",0
"205",1,3,5,"up",0
"206",1,3,6,"up",0
"207",1,3,7,"left",0
"208",1,3,8,"up",0
"209",1,3,9,"up",0
"210",1,3,10,"left",0
"211",1,3,11,"left",0
"212",1,3,12,"up",0
"213",1,3,13,"up",0
"214",1,3,14,"up",0
"215",1,3,15,"left",1
"216",1,3,16,"left",0
"217",1,3,17,"down",1
"218",1,3,18,"left",0
"219",1,3,19,"up",0
"220",1,3,20,"left",0
"221",1,3,21,"left",1
"222",1,3,22,"up",1
"223",1,3,23,"left",0
"224",1,3,24,"up",0
"225",1,3,25,"left",0
"226",1,3,26,"up",0
"227",1,3,27,"left",1
"228",1,3,28,"down",0
"229",1,3,29,"down",0
"230",1,3,30,"right",1
"231",1,3,31,"down",0
"232",1,3,32,"left",0
"233",1,3,33,"left",1
"234",1,3,34,"up",1
"235",1,3,35,"up",0
"236",1,3,36,"left",0
"237",1,3,37,"down",0
"238",1,3,38,"left",0
"239",1,3,39,"left",0
"240",1,3,40,"up",0
"241",1,3,41,"up",0
"242",1,3,42,"left",0
"243",1,3,43,"left",0
"244",1,3,44,"down",1
"245",1,3,45,"left",0
"246",1,3,46,"left",0
"247",1,3,47,"left",0
"248",1,3,48,"up",0
"249",1,3,49,"up",1
"250",1,3,50,"up",0
"251",1,3,51,"up",1
"252",1,3,52,"up",0
"253",1,3,53,"left",0
"254",1,3,54,"up",0
"255",1,3,55,"up",0
"256",1,3,56,"up",0
"257",1,3,57,"left",0
"258",1,3,58,"down",0
"259",1,3,59,"down",0
"260",1,3,60,"left",0
"261",1,3,61,"down",0
"262",1,3,62,"down",0
"263",1,3,63,"left",0
"264",1,3,64,"down",1
"265",1,3,65,"left",0
"266",1,3,66,"left",0
"267",1,3,67,"down",0
"268",1,3,68,"down",0
"269",1,3,69,"left",0
"270",1,3,70,"down",0
"271",1,3,71,"left",1
"272",1,3,72,"up",0
"273",1,3,73,"left",0
"274",1,3,74,"down",0
"275",1,3,75,"left",0
"276",1,3,76,"up",0
"277",1,3,77,"left",0
"278",1,3,78,"down",0
"279",1,3,79,"down",0
"280",1,3,80,"right",0
"281",1,3,81,"down",0
"282",1,3,82,"right",0
"283",1,3,83,"right",0
"284",1,3,84,"down",0
"285",1,3,85,"right",0
"286",1,3,86,"down",0
"287",1,3,87,"left",1
"288",1,3,88,"down",0
"289",1,3,89,"right",0
"290",1,3,90,"down",0
"291",1,3,91,"left",0
"292",1,3,92,"right",0
"293",1,3,93,"right",0
"294",1,3,94,"right",1
"295",1,3,95,"down",0
"296",1,3,96,"right",1
"297",1,3,97,"down",0
"298",1,3,98,"down",0
"299",1,3,99,"left",0
"300",1,3,100,"down",0
"301",1,4,1,"left",0
"302",1,4,2,"down",1
"303",1,4,3,"left",0
"304",1,4,4,"left",1
"305",1,4,5,"down",0
"306",1,4,6,"down",1
"307",1,4,7,"left",1
"308",1,4,8,"left",0
"309",1,4,9,"down",0
"310",1,4,10,"left",0
"311",1,4,11,"up",0
"312",1,4,12,"left",0
"313",1,4,13,"up",1
"314",1,4,14,"up",0
"315",1,4,15,"left",0
"316",1,4,16,"down",0
"317",1,4,17,"left",0
"318",1,4,18,"up",0
"319",1,4,19,"up",0
"320",1,4,20,"up",0
"321",1,4,21,"left",0
"322",1,4,22,"up",0
"323",1,4,23,"right",0
"324",1,4,24,"left",0
"325",1,4,25,"left",0
"326",1,4,26,"left",0
"327",1,4,27,"down",0
"328",1,4,28,"left",0
"329",1,4,29,"up",0
"330",1,4,30,"left",0
"331",1,4,31,"down",0
"332",1,4,32,"down",0
"333",1,4,33,"down",0
"334",1,4,34,"down",0
"335",1,4,35,"left",1
"336",1,4,36,"down",0
"337",1,4,37,"left",1
"338",1,4,38,"up",1
"339",1,4,39,"left",0
"340",1,4,40,"down",1
"341",1,4,41,"left",0
"342",1,4,42,"up",0
"343",1,4,43,"left",0
"344",1,4,44,"down",0
"345",1,4,45,"left",0
"346",1,4,46,"up",0
"347",1,4,47,"left",1
"348",1,4,48,"down",1
"349",1,4,49,"left",0
"350",1,4,50,"up",1
"351",1,4,51,"left",1
"352",1,4,52,"down",0
"353",1,4,53,"left",0
"354",1,4,54,"up",0
"355",1,4,55,"up",0
"356",1,4,56,"left",0
"357",1,4,57,"down",0
"358",1,4,58,"left",0
"359",1,4,59,"down",0
"360",1,4,60,"left",0
"361",1,4,61,"up",0
"362",1,4,62,"left",1
"363",1,4,63,"up",1
"364",1,4,64,"left",0
"365",1,4,65,"up",0
"366",1,4,66,"left",0
"367",1,4,67,"down",1
"368",1,4,68,"left",0
"369",1,4,69,"up",0
"370",1,4,70,"left",0
"371",1,4,71,"left",0
"372",1,4,72,"left",0
"373",1,4,73,"down",0
"374",1,4,74,"right",0
"375",1,4,75,"right",1
"376",1,4,76,"down",1
"377",1,4,77,"left",0
"378",1,4,78,"down",0
"379",1,4,79,"right",1
"380",1,4,80,"down",1
"381",1,4,81,"left",0
"382",1,4,82,"down",0
"383",1,4,83,"right",0
"384",1,4,84,"down",1
"385",1,4,85,"right",0
"386",1,4,86,"down",0
"387",1,4,87,"right",1
"388",1,4,88,"down",0
"389",1,4,89,"left",0
"390",1,4,90,"down",1
"391",1,4,91,"right",0
"392",1,4,92,"down",0
"393",1,4,93,"left",0
"394",1,4,94,"down",0
"395",1,4,95,"right",1
"396",1,4,96,"down",0
"397",1,4,97,"down",0
"398",1,4,98,"left",1
"399",1,4,99,"up",0
"400",1,4,100,"left",0
"401",1,5,1,"right",0
"402",1,5,2,"up",1
"403",1,5,3,"right",1
"404",1,5,4,"up",1
"405",1,5,5,"right",1
"406",1,5,6,"up",0
"407",1,5,7,"right",1
"408",1,5,8,"up",0
"409",1,5,9,"right",0
"410",1,5,10,"up",0
"411",1,5,11,"right",0
"412",1,5,12,"up",1
"413",1,5,13,"right",0
"414",1,5,14,"up",1
"415",1,5,15,"right",0
"416",1,5,16,"up",0
"417",1,5,17,"right",0
"418",1,5,18,"up",0
"419",1,5,19,"right",0
"420",1,5,20,"up",0
"421",1,5,21,"right",0
"422",1,5,22,"up",0
"423",1,5,23,"right",0
"424",1,5,24,"up",1
"425",1,5,25,"left",1
"426",1,5,26,"right",0
"427",1,5,27,"right",1
"428",1,5,28,"up",0
"429",1,5,29,"left",0
"430",1,5,30,"right",0
"431",1,5,31,"right",0
"432",1,5,32,"up",0
"433",1,5,33,"right",0
"434",1,5,34,"up",1
"435",1,5,35,"up",0
"436",1,5,36,"down",0
"437",1,5,37,"left",0
"438",1,5,38,"right",0
"439",1,5,39,"up",0
"440",1,5,40,"right",1
"441",1,5,41,"up",1
"442",1,5,42,"right",1
"443",1,5,43,"up",1
"444",1,5,44,"right",0
"445",1,5,45,"up",0
"446",1,5,46,"up",0
"447",1,5,47,"right",0
"448",1,5,48,"up",0
"449",1,5,49,"right",1
"450",1,5,50,"up",1
"451",1,5,51,"right",0
"452",1,5,52,"up",0
"453",1,5,53,"right",1
"454",1,5,54,"up",0
"455",1,5,55,"right",1
"456",1,5,56,"up",0
"457",1,5,57,"right",1
"458",1,5,58,"up",1
"459",1,5,59,"right",0
"460",1,5,60,"up",0
"461",1,5,61,"right",0
"462",1,5,62,"up",0
"463",1,5,63,"right",0
"464",1,5,64,"up",0
"465",1,5,65,"right",0
